OBJECTID,ORIG_NUM,CAM_NUM,X_COORD,Y_COORD,Latitude,Longitude,LOCATION,CCTV_SCHEME,Done
1037,AB31,31,258801,664847,55.856076,-4.2573179,Clyde Walkway at Dixon Street,,Yes
1036,AB32,32,258741,664871,55.856274,-4.2582881,Clydewalk Between Jamaica Street at Oswald Stre,,Yes
1038,AB33,33,259189,664644,55.854367,-4.2510193,Clydewalkway at Stockwell Street,,Yes
832,AB34,34,259429,664505,55.853189,-4.2471166,Clyde St at Albert Bridge,,Yes
974,AB37,37,259300,664764,55.855476,-4.2493099,Stockwell Street at Bridgegate,City Centre,Yes
975,AB38,38,259297,664984,55.857451,-4.249472,Argyle Street at Stockwell Street,City Centre,Yes
1002,AB39,39,259396,665105,55.858566,-4.2479545,Wilson Street at Hutcheson Street,City Centre,Yes
976,AB41,41,259355,665252,55.859874,-4.2486852,Ingram Street at Glassford Street,City Centre,Yes
977,AB42,42,259096,665031,55.857814,-4.2527048,Argyle Street at Queen Street,City Centre,Yes
978,AB43,43,258878,664849,55.856116,-4.2560899,Clyde Street,City Centre,Yes
979,AB44,44,258906,664923,55.856789,-4.2556815,Howard Street,City Centre,Yes
980,AB45,45,258953,665086,55.858266,-4.2550161,Buchanan Street at Argyle Street,City Centre,Yes
981,AB46,46,258825,665093,55.858291,-4.2570629,Jamaica Street at Argyle Street,City Centre,Yes
982,AB47,47,258689,665117,55.858467,-4.2592464,Oswald Street at Argyle Street,City Centre,
998,AB50,50,258634,665432,55.861279,-4.2602886,Bothwell Street at Wellington Street,City Centre,
984,AB51,51,258738,665366,55.860717,-4.258594,Gordon Street at Hope Street,City Centre,
985,AB52,52,258846,665356,55.860659,-4.2568647,Gordon Street at Renfield Street,City Centre,
986,AB53,53,258936,665339,55.860532,-4.2554191,Gordon Street at West Nile Street,City Centre,
1144,AB54,54,259158,665257,55.859861,-4.2518326,Queen Street at Royal Exchange Square,City Centre,
1088,AB55,55,259092,665325,55.860452,-4.2529215,Royal Exchange Square,City Centre,
987,AB56,56,259046,665409,55.861193,-4.2536995,St. Vincent Place at Buchanan Street,City Centre,
988,AB57,57,259292,665452,55.861651,-4.2497947,George Square at North Hanover Street,City Centre,
1220,AB58,58,259084,665652,55.863386,-4.2532192,Buchanan Street at Bath Street,City Centre,
1065,AB59,59,259081,665653,55.863394,-4.2532676,Buchanan Street at Bath Street (Static),City Centre,
991,AB60,60,258813,665736,55.864061,-4.2575894,Bath Street at Hope Street,City Centre,
990,AB61,61,258928,665689,55.863672,-4.255729,Renfield Street at Bath Street,City Centre,
989,AB62,62,258774,665578,55.862631,-4.2581297,West George Street at Hope Street,City Centre,
992,AB63,63,259038,665762,55.86436,-4.2540108,Sauchiehall Street at West Nile Street,City Centre,
993,AB64,64,258832,665813,55.864757,-4.2573262,Sauchiehall Street at Hope Street,City Centre,
994,AB65,65,258644,665847,55.865008,-4.2603454,Cambridge Street at Sauchiehall Street,City Centre,
1000,AB68,68,258526,665717,55.863806,-4.2621615,West Regent Street at Blythswood Square,City Centre,
999,AB69,69,258560,665532,55.862155,-4.2615221,St. Vincent Street at West Campbell Street,City Centre,
1005,AB71,71,259120,665833,55.865021,-4.2527386,Killermont Street  at Royal Concert Hall,City Centre,
1001,AB72,72,259472,665580,55.862853,-4.2469876,Cathedral Street at John Street,City Centre,
997,AB73,73,259858,665584,55.863001,-4.2408273,Cathedral Street at Taylor Street,City Centre,
1067,AB74,74,259671,665903,55.86581,-4.2439779,Kennedy Path,City Centre,
1068,AB76,76,259711,665920,55.865975,-4.243348,Kennedy Path Rear,City Centre,
1252,AB77,77,259898,665951,55.866307,-4.2403784,Glebe Court,,
1253,AB78,78,259521,665886,55.865614,-4.2463639,ST Mungo Avenue,,
996,AB79,79,260014,665491,55.862211,-4.2382887,Collins Street at Macleod Street,City Centre,
1003,AB80,80,260075,665703,55.864132,-4.2374243,Glebe Street,City Centre,
895,AB89,89,258661,664919,55.856681,-4.2595901,Broomielaw at Oswald Street,City Centre,
1012,AB91,91,258731,665388,55.860912,-4.2587172,Hope Street at Bothwell Street,,
1013,AB92,92,258722,665287,55.860003,-4.2588082,"Hope Street, outside Central Hotel",,
1226,AB93,93,258848,665221,55.859447,-4.2567624,"Union Street, east side",,
983,AC48,48,258406,665285,55.859892,-4.2638515,Cadogan Street at Blythswood Street,City Centre,
995,AC66,66,258382,665905,55.865451,-4.2645586,Pitt Street at Sauchiehall Street,City Centre,
1004,AC67,67,258152,665963,55.865904,-4.2682611,Sauchiehall Street at Elmbank Street,City Centre,
919,AC79,79,257241,666142,55.867242,-4.2828999,"Nr Football Pitch & Royal Terr, Kelvingrove Par",,
920,AC80,80,257358,666190,55.867708,-4.2810572,"nr Park Gardens, Kelvingrove Park",,
